"Feed Number","Title","Link","Description","Feed URL","Newsletter Signup URL"
"299","R&P - CRPD Fitness Camp - Recent Updates","https://www.columbus.gov/","R&P - CRPD Fitness Camp - Recent Updates","https://public.govdelivery.com/topics/OHCCC_299/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_299
"29","DEV - Meeting notifications for residents in Planning neighborhoods - Recent Updates","https://www.columbus.gov/","DEV - Meeting notifications for residents in Planning neighborhoods - Recent Updates","https://public.govdelivery.com/topics/OHCCC_29/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_29
"300","R&P - Sports - SportsTalkColumbus Podcast - Recent Updates","https://www.columbus.gov/","R&P - Sports - SportsTalkColumbus Podcast - Recent Updates","https://public.govdelivery.com/topics/OHCCC_300/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_300
"302","CWC-Gender Equity Participants - Recent Updates","https://www.columbus.gov/","CWC-Gender Equity Participants - Recent Updates","https://public.govdelivery.com/topics/OHCCC_302/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_302
"303","MAY-CWC Commisssioners - Recent Updates","https://www.columbus.gov/","MAY-CWC Commisssioners - Recent Updates","https://public.govdelivery.com/topics/OHCCC_303/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_303
"304","MAY-CWC Adopter List - Recent Updates","https://www.columbus.gov/","MAY-CWC Adopter List - Recent Updates","https://public.govdelivery.com/topics/OHCCC_304/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_304
"308","R&P - Donors - Recent Updates","https://www.columbus.gov/","R&P - Donors - Recent Updates","https://public.govdelivery.com/topics/OHCCC_308/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_308
"310","ALL - City of Columbus Staff - Civilian - Recent Updates","https://www.columbus.gov/","ALL - City of Columbus Staff - Civilian - Recent Updates","https://public.govdelivery.com/topics/OHCCC_310/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_310
"311","CWC Commitment Adoptees - Recent Updates","https://www.columbus.gov/","CWC Commitment Adoptees - Recent Updates","https://public.govdelivery.com/topics/OHCCC_311/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_311
"313","R&P - All Staff - Recent Updates","https://www.columbus.gov/","R&P - All Staff - Recent Updates","https://public.govdelivery.com/topics/OHCCC_313/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_313
